check	status	detail
pair diagnostic schema P10/54	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/54	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/54	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/55	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/55	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/55	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/55	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/55	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/55	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/55	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/56	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/56	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/56	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/56	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/56	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/56	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/56	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/57	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/57	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/57	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/57	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/57	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/57	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/57	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/58	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/58	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/58	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/58	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/58	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/58	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/58	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/59	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/59	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/59	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/59	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/59	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/59	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/59	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/60	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/60	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/60	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/60	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/60	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/60	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/60	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/61	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/61	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/61	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/61	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/61	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/61	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/61	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/62	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/62	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/62	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/62	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/62	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/62	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/62	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/63	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/63	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/63	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/63	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/63	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/63	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/63	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/64	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/64	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/64	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/64	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/64	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/64	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/64	PASS	rebuild wrapper and recompute robustfit diagnostics
Mphase identity M01/1	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/1	PASS	expected replay pairing
Mphase independent orbit shape M01/1/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/1/R2	PASS	exact signflip from persisted subject vector
Mphase historical replay match M01/1	PASS	M02 bitwise; M01 <=1e-12 tolerance (route b)
Mphase identity M01/2	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/2	PASS	expected replay pairing
Mphase independent orbit shape M01/2/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/2/R2	PASS	exact signflip from persisted subject vector
Mphase historical replay match M01/2	PASS	M02 bitwise; M01 <=1e-12 tolerance (route b)
Mphase identity M01/3	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/3	PASS	expected replay pairing
Mphase independent orbit shape M01/3/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/3/R2	PASS	exact signflip from persisted subject vector
Mphase historical replay match M01/3	PASS	M02 bitwise; M01 <=1e-12 tolerance (route b)
Mphase identity M01/4	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/4	PASS	expected replay pairing
Mphase independent orbit shape M01/4/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/4/R2	PASS	exact signflip from persisted subject vector
Mphase historical replay match M01/4	PASS	M02 bitwise; M01 <=1e-12 tolerance (route b)
Mphase identity M01/5	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/5	PASS	expected replay pairing
Mphase independent orbit shape M01/5/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/5/R2	PASS	exact signflip from persisted subject vector
Mphase historical replay match M01/5	PASS	M02 bitwise; M01 <=1e-12 tolerance (route b)
Mphase identity M01/6	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/6	PASS	expected replay pairing
Mphase independent orbit shape M01/6/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/6/R2	PASS	exact signflip from persisted subject vector
Mphase historical replay match M01/6	PASS	M02 bitwise; M01 <=1e-12 tolerance (route b)
Mphase identity M01/7	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/7	PASS	expected replay pairing
Mphase independent orbit shape M01/7/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/7/R2	PASS	exact signflip from persisted subject vector
Mphase historical replay match M01/7	PASS	M02 bitwise; M01 <=1e-12 tolerance (route b)
Mphase identity M01/8	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/8	PASS	expected replay pairing
Mphase independent orbit shape M01/8/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/8/R2	PASS	exact signflip from persisted subject vector
Mphase historical replay match M01/8	PASS	M02 bitwise; M01 <=1e-12 tolerance (route b)
Mphase identity M01/9	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/9	PASS	expected replay pairing
Mphase independent orbit shape M01/9/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/9/R2	PASS	exact signflip from persisted subject vector
Mphase historical replay match M01/9	PASS	M02 bitwise; M01 <=1e-12 tolerance (route b)
Mphase identity M01/10	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/10	PASS	expected replay pairing
Mphase independent orbit shape M01/10/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/10/R2	PASS	exact signflip from persisted subject vector
Mphase historical replay match M01/10	PASS	M02 bitwise; M01 <=1e-12 tolerance (route b)
Mphase identity M01/11	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/11	PASS	expected replay pairing
Mphase independent orbit shape M01/11/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/11/R2	PASS	exact signflip from persisted subject vector
Mphase historical replay match M01/11	PASS	M02 bitwise; M01 <=1e-12 tolerance (route b)
Mphase identity M01/12	PASS	atomic replay identity; filename cell/seed cross-checked against stored fields
Mphase replay seed and guard-only fields M01/12	PASS	expected replay pairing
Mphase independent orbit shape M01/12/R1	PASS	exact signflip from persisted subject vector
Mphase independent orbit shape M01/12/R2	PASS	exact signflip from persisted subject vector
